isd,district,classification,locale,county,fips,enrollment,uninsured,disability,seizure_specific
709,Duluth,FOUND_SEIZURE_SPECIFIC,City,St. Louis County,27137,8757.0,6.8,30.8,1
270,Hopkins,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,6977.0,7.5,25.0,1
272,Eden Prairie,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,8963.0,7.5,25.0,1
742,St. Cloud,FOUND_MED_POLICY_ONLY,City,Stearns County,27145,9543.0,7.9,27.6,0
112,Eastern Carver County,FOUND_SEIZURE_SPECIFIC,Suburb,Carver County,27019,9254.0,5.8,23.3,1
833,South Washington County,FOUND_MED_POLICY_ONLY,Suburb,Washington County,27163,19360.0,5.8,23.5,0
719,Prior Lake-Savage,FOUND_SEIZURE_SPECIFIC,Suburb,Scott County,27139,8777.0,6.6,23.7,1
286,Brooklyn Center,FOUND_MED_POLICY_ONLY,Suburb,Hennepin County,27053,2099.0,7.5,25.0,0
861,Winona Area,FOUND_MED_POLICY_ONLY,Town,Winona County,27169,2433.0,7.3,29.1,0
656,Faribault,FOUND_MED_POLICY_ONLY,Town,Rice County,27131,3107.0,8.7,28.1,0
206,Alexandria,FOUND_SEIZURE_SPECIFIC,Town,Douglas County,27041,4021.0,6.9,29.6,1
347,Willmar,FOUND_MED_POLICY_ONLY,Town,Kandiyohi County,27067,4220.0,10.0,30.0,0
88,New Ulm,FOUND_SEIZURE_SPECIFIC,Town,Brown County,27015,2135.0,8.1,30.2,1
94,Cloquet,FOUND_SEIZURE_SPECIFIC,Town,Carlton County,27017,2598.0,8.0,31.0,1
2137,Kingsland,FOUND_MED_POLICY_ONLY,Rural,Fillmore County,27045,517.0,7.6,31.6,0
2609,Win-E-Mac,FOUND_SEIZURE_SPECIFIC,Rural,Polk County,27119,444.0,8.3,29.7,1
2711,Mesabi East,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,871.0,6.8,30.8,0
857,Lewiston-Altura,FOUND_MED_POLICY_ONLY,Rural,Winona County,27169,591.0,7.3,29.1,0
690,Warroad,FOUND_MED_POLICY_ONLY,Rural,Roseau County,27135,1053.0,7.8,30.7,0
466,Dassel-Cokato,FOUND_SEIZURE_SPECIFIC,Rural,Wright County,27171,2015.0,6.8,26.0,1
11,Anoka-Hennepin School District,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,38631.0,7.5,28.1,1
625,Saint Paul Public Schools,FOUND_SEIZURE_SPECIFIC,City,Ramsey County,27123,32145.0,7.8,27.9,1
196,Rosemount-Apple Valley-Eagan,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,29115.0,7.1,25.8,1
1,Aitkin Public School District,FOUND_MED_POLICY_ONLY,Rural,Aitkin County,27001,995.0,7.4,34.7,0
30001,Minneapolis Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,29063.0,7.5,25.0,0
279,Osseo Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,20776.0,7.5,25.0,1
535,Rochester Public School District,FOUND_SEIZURE_SPECIFIC,City,Olmsted County,27109,17342.0,6.7,24.9,1
728,Elk River Public School District,FOUND_MED_POLICY_ONLY,Suburb,Sherburne County,27141,14352.0,7.1,27.3,0
284,Wayzata Public Schools,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,12625.0,7.5,25.0,1
194,Lakeville Area Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,12021.0,7.1,25.8,1
621,Mounds View Public School District,NOT_FOUND,Suburb,Ramsey County,27123,11632.0,7.8,27.9,0
276,Minnetonka Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,11356.0,7.5,25.0,0
281,Robbinsdale Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,10735.0,7.5,25.0,1
622,North St. Paul-Maplewood Oakdale,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,10633.0,7.8,27.9,1
271,Bloomington Public School District,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,10294.0,7.5,25.0,1
273,Edina Public School District,FOUND_SEIZURE_SPECIFIC,City,Hennepin County,27053,8609.0,7.5,25.0,1
624,White Bear Lake Area Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,8549.0,7.8,27.9,1
834,Stillwater Area Public Schools,FOUND_SEIZURE_SPECIFIC,Town,Washington County,27163,8368.0,5.8,23.5,1
77,Mankato Area Public Schools,FOUND_SEIZURE_SPECIFIC,City,Blue Earth County,27013,8276.0,7.9,28.8,1
720,Shakopee Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Scott County,27139,7678.0,6.6,23.7,1
191,Burnsville-Eagan-Savage Schools,FOUND_SEIZURE_SPECIFIC,City,Dakota County,27037,7594.0,7.1,25.8,1
152,Moorhead Area Public Schools,FOUND_MED_POLICY_ONLY,Suburb,Clay County,27027,7460.0,7.2,27.4,0
623,Roseville Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Ramsey County,27123,7355.0,7.8,27.9,1
12,Centennial Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,6772.0,7.5,28.1,1
885,St. Michael-Albertville Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Wright County,27171,6696.0,6.8,26.0,1
192,Farmington Public School District,FOUND_MED_POLICY_ONLY,Suburb,Dakota County,27037,6630.0,7.1,25.8,0
16,Spring Lake Park Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Anoka County,27003,6140.0,7.5,28.1,1
181,Brainerd Public School District,FOUND_SEIZURE_SPECIFIC,Town,Crow Wing County,27035,6134.0,7.0,30.7,1
831,Forest Lake Public School District,FOUND_SEIZURE_SPECIFIC,Town,Washington County,27163,5763.0,5.8,23.5,1
197,West St. Paul-Mendota Heights-Eagan,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,5293.0,7.1,25.8,1
877,Buffalo-Hanover-Montrose Schools,FOUND_SEIZURE_SPECIFIC,Town,Wright County,27171,5282.0,6.8,26.0,1
492,Austin Public School District,FOUND_SEIZURE_SPECIFIC,Town,Mower County,27099,5146.0,10.6,30.9,1
911,Cambridge-Isanti Schools,FOUND_SEIZURE_SPECIFIC,Town,Isanti County,27059,5092.0,8.0,29.0,1
761,Owatonna Public School District,FOUND_MED_POLICY_ONLY,Town,Steele County,27147,4995.0,8.2,28.2,0
31,Bemidji Area Schools,NOT_VERIFIABLE,Town,Beltrami County,27007,4812.0,8.2,32.7,0
47,Sauk Rapids-Rice Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Benton County,27009,4352.0,8.0,28.4,1
283,St. Louis Park Public School District,FOUND_MED_POLICY_ONLY,City,Hennepin County,27053,4347.0,7.5,25.0,0
15,St. Francis Area Schools,FOUND_SEIZURE_SPECIFIC,Town,Anoka County,27003,4236.0,7.5,28.1,1
882,Monticello Public School District,FOUND_MED_POLICY_ONLY,Town,Wright County,27171,4138.0,6.8,26.0,0
200,Hastings Public School District,FOUND_SEIZURE_SPECIFIC,Town,Dakota County,27037,4095.0,7.1,25.8,1
721,New Prague Area Schools,FOUND_MED_POLICY_ONLY,Town,Scott County,27139,4072.0,6.6,23.7,0
748,Sartell-St. Stephen School District,FOUND_MED_POLICY_ONLY,Suburb,Stearns County,27145,4046.0,7.9,27.6,0
280,Richfield Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Hennepin County,27053,4043.0,7.5,25.0,1
318,Grand Rapids Public School District,FOUND_SEIZURE_SPECIFIC,Rural,Itasca County,27061,4024.0,7.1,32.7,1
110,Waconia Public Schools,FOUND_SEIZURE_SPECIFIC,Town,Carver County,27019,4000.0,5.8,23.3,1
518,Worthington Public School District,NOT_VERIFIABLE,Town,Nobles County,27105,3914.0,16.5,33.2,0
659,Northfield Public School District,FOUND_MED_POLICY_ONLY,Town,Rice County,27131,3875.0,8.7,28.1,0
199,Inver Grove Heights Schools,FOUND_MED_POLICY_ONLY,Suburb,Dakota County,27037,3510.0,7.1,25.8,0
13,Columbia Heights Public School Dist,FOUND_MED_POLICY_ONLY,Suburb,Anoka County,27003,3420.0,7.5,28.1,0
241,Albert Lea Public School District,FOUND_SEIZURE_SPECIFIC,Town,Freeborn County,27047,3338.0,9.8,32.7,1
2144,Chisago Lakes School District,FOUND_SEIZURE_SPECIFIC,Town,Chisago County,27025,3331.0,7.0,28.4,1
477,Princeton Public School District,FOUND_SEIZURE_SPECIFIC,Town,Mille Lacs County,27095,3217.0,8.3,32.7,1
832,Mahtomedi Public Schools,FOUND_SEIZURE_SPECIFIC,Rural,Washington County,27163,3194.0,5.8,23.5,1
727,Big Lake Public School District,FOUND_SEIZURE_SPECIFIC,Town,Sherburne County,27141,3157.0,7.1,27.3,1
278,Orono Public School District,FOUND_SEIZURE_SPECIFIC,Rural,Hennepin County,27053,2946.0,7.5,25.0,1
6,South St. Paul Public School District,FOUND_SEIZURE_SPECIFIC,Suburb,Dakota County,27037,2917.0,7.1,25.8,1
544,Fergus Falls Public School District,FOUND_SEIZURE_SPECIFIC,Town,Otter Tail County,27111,2901.0,7.5,30.6,1
726,Becker Public School District,FOUND_MED_POLICY_ONLY,Rural,Sherburne County,27141,2847.0,7.1,27.3,0
22,Detroit Lakes Public School Dist.,FOUND_SEIZURE_SPECIFIC,Town,Becker County,27005,2797.0,7.5,30.3,1
423,Hutchinson Public School District,FOUND_SEIZURE_SPECIFIC,Town,McLeod County,27085,2783.0,8.3,29.3,1
138,North Branch Area Public Schools,FOUND_MED_POLICY_ONLY,Rural,Chisago County,27025,2744.0,7.0,28.4,0
413,Marshall Public School District,FOUND_MED_POLICY_ONLY,Town,Lyon County,27083,2705.0,8.5,29.1,0
14,Fridley Public School District,FOUND_MED_POLICY_ONLY,Suburb,Anoka County,27003,2633.0,7.5,28.1,0
879,Delano Public School District,FOUND_MED_POLICY_ONLY,Town,Wright County,27171,2464.0,6.8,26.0,0
277,Westonka Public School District,FOUND_SEIZURE_SPECIFIC,Rural,Hennepin County,27053,2428.0,7.5,25.0,1
750,Rocori Public School District,FOUND_MED_POLICY_ONLY,Rural,Stearns County,27145,2414.0,7.9,27.6,0
482,Little Falls Community Schools,FOUND_MED_POLICY_ONLY,Town,Morrison County,27097,2376.0,7.7,30.1,0
2909,Rock Ridge Public Schools,FOUND_SEIZURE_SPECIFIC,Rural,St. Louis County,27137,2331.0,6.8,30.8,1
531,Byron Public School District,FOUND_MED_POLICY_ONLY,Town,Olmsted County,27109,2331.0,6.7,24.9,0
256,Red Wing Public School District,FOUND_MED_POLICY_ONLY,Rural,Goodhue County,27049,2231.0,7.7,28.6,0
701,Hibbing Public School District,NOT_FOUND,Town,St. Louis County,27137,2197.0,6.8,30.8,0
204,Kasson-Mantorville School District,FOUND_MED_POLICY_ONLY,Town,Dodge County,27039,2161.0,7.1,26.1,0
508,St. Peter Public School District,FOUND_MED_POLICY_ONLY,Town,Nicollet County,27103,2105.0,7.3,28.3,0
700,Hermantown Community Schools,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,2100.0,6.8,30.8,0
876,Annandale Public School District,FOUND_MED_POLICY_ONLY,Rural,Wright County,27171,2049.0,6.8,26.0,0
534,Stewartville Public Schools,FOUND_MED_POLICY_ONLY,Town,Olmsted County,27109,2005.0,6.7,24.9,0
294,Houston Public School District,FOUND_MED_POLICY_ONLY,Rural,Houston County,27055,2000.0,6.8,28.5,0
2142,St. Louis County School District,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,1947.0,6.8,30.8,0
595,East Grand Forks Public Schools,FOUND_SEIZURE_SPECIFIC,Suburb,Polk County,27119,1942.0,8.3,29.7,1
