isd,district,classification,locale,county,fips,enrollment,uninsured,disability,seizure_specific,ems_avg_min,ems_p90_min,ems_response_risk_tier,seizure_emergency_risk,rural_urban_category,nurse_risk_tier,prob_no_nurse,dual_risk,combined_risk_score,support_staff_fte
671,Hills-Beaver Creek School District,FOUND_MED_POLICY_ONLY,Rural,Rock County,27133,354.0,8.0,30.8,0,10.85,20.0,ELEVATED,HIGH,Metropolitan,HIGH_RISK_SMALL,83%,True,11,4.0
297,Spring Grove School District,FOUND_MED_POLICY_ONLY,Rural,Houston County,27055,353.0,6.8,28.5,0,11.41,19.0,ELEVATED,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,9,4.0
118,Northland Community Schools,FOUND_MED_POLICY_ONLY,Rural,Cass County,27021,347.0,7.4,34.1,0,13.17,24.0,HIGH,HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,6.0
2906,Red Lake County Central Public Sch,FOUND_MED_POLICY_ONLY,Rural,Red Lake County,27125,342.0,7.6,30.9,0,11.2,22.0,ELEVATED,HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,3.0
486,Swanville Public School District,NOT_FOUND,Rural,Morrison County,27097,341.0,7.7,30.1,0,11.23,23.0,ELEVATED,HIGH,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,10,4.0
507,Nicollet Public School District,FOUND_MED_POLICY_ONLY,Rural,Nicollet County,27103,338.0,7.3,28.3,0,8.07,14.0,STANDARD,LOW,Metropolitan,HIGH_RISK_SMALL,83%,True,9,3.0
100,Wrenshall Public School District,FOUND_MED_POLICY_ONLY,Rural,Carlton County,27017,336.0,8.0,31.0,0,9.33,18.0,STANDARD,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,11,5.0
2888,Clinton-Graceville-Beardsley,FOUND_MED_POLICY_ONLY,Rural,Big Stone County,27011,328.0,7.9,32.0,0,13.27,22.0,HIGH,HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,3.0
36,Kelliher Public School District,FOUND_MED_POLICY_ONLY,Rural,Beltrami County,27007,328.0,8.2,32.7,0,8.89,16.0,STANDARD,MODERATE,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,11,3.0
487,Upsala Public School District,NOT_VERIFIABLE,Rural,Morrison County,27097,327.0,7.7,30.1,0,11.23,23.0,ELEVATED,HIGH,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,10,3.0
261,Ashby Public School District,FOUND_MED_POLICY_ONLY,Rural,Grant County,27051,320.0,8.0,32.3,0,13.67,25.0,HIGH,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,11,4.0
850,Rothsay Public School District,FOUND_MED_POLICY_ONLY,Rural,Wilkin County,27167,312.0,8.0,31.3,0,11.03,21.0,ELEVATED,HIGH,Rural,HIGH_RISK_SMALL,83%,True,11,3.0
497,Lyle Public School District,FOUND_MED_POLICY_ONLY,Rural,Mower County,27099,309.0,10.6,30.9,0,7.73,14.0,STANDARD,LOW,Nonmetro-Urban,HIGH_RISK_SMALL,83%,True,11,4.0
2536,Granada Huntley East Chain,FOUND_MED_POLICY_ONLY,Rural,Martin County,27091,303.0,8.4,31.8,0,8.19,16.0,STANDARD,MODERATE,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,11,4.0
95,Cromwell-Wright Public Schools,FOUND_MED_POLICY_ONLY,Rural,Carlton County,27017,301.0,8.0,31.0,0,9.33,18.0,STANDARD,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,11,2.0
93,Carlton Public School District,FOUND_MED_POLICY_ONLY,Town,Carlton County,27017,296.0,8.0,31.0,0,9.33,18.0,STANDARD,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,11,6.0
330,Heron Lake-Okabena School District,FOUND_MED_POLICY_ONLY,Rural,Jackson County,27063,290.0,7.7,30.5,0,9.48,16.0,STANDARD,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,10,3.0
914,Ulen-Hitterdal Public School Dist,FOUND_MED_POLICY_ONLY,Rural,Clay County,27027,285.0,7.2,27.4,0,8.87,15.0,STANDARD,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,9,5.0
238,Mabel-Canton Public School District,FOUND_MED_POLICY_ONLY,Rural,Fillmore County,27045,280.0,7.6,31.6,0,11.38,18.0,ELEVATED,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,10,3.0
2856,Stephen-Argyle Central Schools,FOUND_MED_POLICY_ONLY,Rural,Marshall County,27089,276.0,8.2,31.9,0,8.92,16.0,STANDARD,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,11,2.0
561,Goodridge Public School District,FOUND_MED_POLICY_ONLY,Rural,Pennington County,27113,264.0,7.9,30.7,0,7.47,13.0,STANDARD,LOW,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,10,2.0
499,Leroy-Ostrander Public Schools,FOUND_SEIZURE_SPECIFIC,Rural,Mower County,27099,250.0,10.6,30.9,1,7.73,14.0,STANDARD,LOW,Nonmetro-Urban,HIGH_RISK_SMALL,83%,False,8,6.0
2,Hill City Public School District,FOUND_MED_POLICY_ONLY,Rural,Aitkin County,27001,242.0,7.4,34.7,0,13.86,26.0,HIGH,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,2.0
458,Truman Public School District,FOUND_MED_POLICY_ONLY,Rural,Martin County,27091,241.0,8.4,31.8,0,8.19,16.0,STANDARD,MODERATE,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,11,6.0
2171,Kittson Central School District,FOUND_MED_POLICY_ONLY,Rural,Kittson County,27069,241.0,7.0,31.0,0,15.55,28.2,CRITICAL,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,2.0
600,Fisher Public School District,FOUND_MED_POLICY_ONLY,Rural,Polk County,27119,233.0,8.3,29.7,0,10.04,17.0,ELEVATED,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,10,4.0
402,Hendricks Public School District,FOUND_MED_POLICY_ONLY,Rural,Lincoln County,27081,231.0,7.7,32.0,0,11.35,19.0,ELEVATED,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,10,2.0
2683,Greenbush Middle River Schools,FOUND_MED_POLICY_ONLY,Rural,Roseau County,27135,226.0,7.8,30.7,0,11.95,23.0,ELEVATED,HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,2.0
2886,Glenville-Emmons School District,FOUND_MED_POLICY_ONLY,Rural,Freeborn County,27047,224.0,9.8,32.7,0,8.07,15.0,STANDARD,MODERATE,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,11,3.0
676,Badger Public School District,FOUND_MED_POLICY_ONLY,Rural,Roseau County,27135,222.0,7.8,30.7,0,11.95,23.0,ELEVATED,HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,2.0
836,Butterfield-Odin Public Schools,FOUND_MED_POLICY_ONLY,Rural,Watonwan County,27165,210.0,13.4,33.0,0,11.34,19.0,ELEVATED,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,12,4.0
356,Lancaster Public School District,NOT_VERIFIABLE,Rural,Kittson County,27069,202.0,7.0,31.0,0,15.55,28.2,CRITICAL,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,2.0
2215,Norman County East School District,FOUND_MED_POLICY_ONLY,Rural,Norman County,27107,199.0,8.3,31.7,0,15.2,26.0,CRITICAL,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,11,4.0
801,Browns Valley Public School Dist,NOT_FOUND,Rural,Traverse County,27155,197.0,8.5,33.8,0,9.88,15.7,STANDARD,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,11,1.0
592,Climax-Shelly Public Schools,FOUND_MED_POLICY_ONLY,Rural,Polk County,27119,186.0,8.3,29.7,0,10.04,17.0,ELEVATED,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,10,3.0
363,South Koochiching School District,NOT_VERIFIABLE,Rural,Koochiching County,27071,182.0,7.3,32.7,0,13.88,29.0,HIGH,VERY HIGH,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,10,3.0
2358,Tri-County School District,NOT_FOUND,Rural,Kittson County,27069,176.0,7.0,31.0,0,15.55,28.2,CRITICAL,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,10,3.0
415,Lynd Public School District,FOUND_MED_POLICY_ONLY,Rural,Lyon County,27083,160.0,8.5,29.1,0,7.57,14.0,STANDARD,LOW,Nonmetro-Large Town,ZERO_SUPPORT_STAFF,95%,True,11,0.0
698,Floodwood Public School District,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,158.0,6.8,30.8,0,9.47,17.0,STANDARD,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,10,2.0
771,Chokio-Alberta Public Schools,FOUND_MED_POLICY_ONLY,Rural,Stevens County,27149,140.0,9.7,29.5,0,10.14,17.0,ELEVATED,MODERATE,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,10,1.0
852,Campbell-Tintah Public Schools,FOUND_MED_POLICY_ONLY,Rural,Wilkin County,27167,128.0,8.0,31.3,0,11.03,21.0,ELEVATED,HIGH,Rural,HIGH_RISK_SMALL,83%,True,11,1.0
514,Ellsworth Public School District,FOUND_MED_POLICY_ONLY,Rural,Nobles County,27105,128.0,16.5,33.2,0,9.18,18.0,STANDARD,MODERATE,Nonmetro-Large Town,ZERO_SUPPORT_STAFF,95%,True,14,0.0
447,Grygla Public School District,NOT_FOUND,Rural,Marshall County,27089,125.0,8.2,31.9,0,8.92,16.0,STANDARD,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,11,2.0
404,Lake Benton Public School District,FOUND_MED_POLICY_ONLY,Rural,Lincoln County,27081,113.0,7.7,32.0,0,11.35,19.0,ELEVATED,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,10,1.0
81,Comfrey Public School District,FOUND_MED_POLICY_ONLY,Rural,Brown County,27015,105.0,8.1,30.2,0,8.53,16.0,STANDARD,MODERATE,Nonmetro-Large Town,HIGH_RISK_SMALL,83%,True,11,4.0
264,Herman-Norcross Community School,FOUND_MED_POLICY_ONLY,Rural,Grant County,27051,103.0,8.0,32.3,0,13.67,25.0,HIGH,VERY HIGH,Rural,HIGH_RISK_SMALL,83%,True,11,1.0
403,Ivanhoe Public School District,FOUND_MED_POLICY_ONLY,Rural,Lincoln County,27081,68.0,7.7,32.0,0,11.35,19.0,ELEVATED,MODERATE,Rural,HIGH_RISK_SMALL,83%,True,10,1.0
707,Nett Lake Public School District,FOUND_MED_POLICY_ONLY,Rural,St. Louis County,27137,48.0,6.8,30.8,0,9.47,17.0,STANDARD,MODERATE,Metropolitan,HIGH_RISK_SMALL,83%,True,10,2.0
25,Pine Point Public School District,FOUND_MED_POLICY_ONLY,Rural,Becker County,27005,47.0,7.5,30.3,0,9.29,20.0,STANDARD,HIGH,Nonmetro-Large Town,ZERO_SUPPORT_STAFF,95%,True,11,0.0
635,Milroy Public School District,FOUND_SEIZURE_SPECIFIC,Rural,Redwood County,27127,20.0,8.5,31.7,1,9.71,18.0,STANDARD,MODERATE,Rural,ZERO_SUPPORT_STAFF,95%,False,9,0.0
323,Franconia Public School District,NOT_VERIFIABLE,Rural,Washington County,27163,,5.8,23.5,0,6.82,12.0,STANDARD,LOW,Metropolitan,ZERO_SUPPORT_STAFF,95%,True,10,0.0
815,Prinsburg Public School District,NOT_VERIFIABLE,Rural,Kandiyohi County,27067,,10.0,30.0,0,8.57,15.0,STANDARD,MODERATE,Nonmetro-Urban,ZERO_SUPPORT_STAFF,95%,True,12,0.0
